#1
double ashland(8897,9)
#epoch	irradiance_global	irradiance_direct	irradiance_diffuse	irradiance_poa	power_dc_system_1	power_dc_system_2	wind_speed	temperature_ambient
970510500	583	512	241	704	3769	0	0.3	18.4
970510800	627	572	243	744	3988	0	0.3	18.7
970511100	597	525	243	735	3955	0	0.2	18.9
970511400	585	496	249	689	3689	0	0.4	18.9
970511700	593	510	247	707	3819	0	0.3	18.4
970512000	567	508	221	702	3780	0	0.7	18.7
970512300	573	554	195	766	4174	0	0.8	18.7
970512600	644	702	164	726	3888	0	0.5	18.3
970512900	664	786	126	887	4839	0	0.5	19.1
970513200	704	882	99	899	4908	0	0.7	18.8
970513500	676	869	81	841	4562	0	0.7	18.9
970513800	673	888	65	843	4574	0	0.6	18.9
970514100	684	927	49	860	4693	0	0.8	18.9
970514400	686	936	46	860	4711	0	0.8	19.3
970514700	675	915	52	846	4637	0	0.8	19.1
970515000	667	904	52	830	4531	0	0.7	19.4
970515300	672	917	51	839	4592	0	0.6	19.3
970515600	673	928	46	849	4662	0	0.6	19.5
970515900	673	936	44	843	4601	0	0.8	19.6
970516200	668	932	44	835	4571	0	0.8	20.0
970516500	662	930	43	829	4498	0	0.4	20.1
970516800	660	933	42	825	4526	0	0.8	20.1
970517100	654	935	39	816	4462	0	0.7	20.2
970517400	646	930	38	810	4451	0	1.0	20.1
970517700	643	931	38	803	4401	0	1.1	20.3
970518000	636	930	37	796	4374	0	1.1	20.4
970518300	630	927	38	787	4306	0	1.0	20.5
970518600	623	926	38	780	4250	0	0.9	20.8
970518900	617	925	38	771	4232	0	1.0	20.6
970519200	610	924	37	763	4175	0	0.8	20.9
970519500	602	921	38	753	4124	0	0.9	20.9
970519800	595	921	37	743	4064	0	1.0	20.8
970520100	587	917	38	733	4015	0	0.9	21.2
970520400	579	916	37	723	3945	0	1.1	21.2
970520700	570	915	37	713	3897	0	1.1	20.9
970521000	561	912	37	701	3810	0	1.2	21.2
970521300	552	909	37	689	3751	0	1.1	21.2
970521600	542	907	37	677	3663	0	1.4	21.2
970521900	533	906	37	665	3596	0	0.9	21.6
970522200	523	906	35	653	3505	0	0.5	21.4
970522500	513	905	35	640	3439	0	0.6	21.8
970522800	502	898	36	626	3342	0	1.0	21.6
970523100	490	895	35	611	3259	0	1.0	21.7
970523400	479	891	35	597	3158	0	1.5	21.8
970523700	467	887	35	582	3077	0	1.1	21.7
970524000	455	883	35	567	2975	0	0.8	21.7
970524300	443	879	35	552	2891	0	0.8	22.2
970524600	430	873	35	536	2771	0	0.9	22.4
970524900	418	870	34	520	2678	0	0.5	22.6
970525200	405	867	33	505	2577	0	1.5	22.1
970525500	392	863	33	489	2477	0	0.5	22.2
970525800	379	858	33	473	2360	0	1.2	22.4
970526100	366	854	32	457	2251	0	0.9	22.4
970526400	353	849	32	440	2148	0	1.2	22.3
970526700	339	845	31	423	2022	0	0.8	22.1
970527000	324	834	31	405	1915	0	0.9	22.0
970527300	310	827	30	386	1778	0	0.6	22.3
970527600	295	816	31	367	1661	0	0.5	22.5
970527900	280	804	31	348	1540	0	0.8	21.9
970528200	265	796	30	331	1418	0	0.4	21.8
970528500	250	783	30	311	1285	0	0.4	21.9
970528800	235	769	30	293	1167	0	0.6	21.9
970529100	221	761	29	275	1041	0	0.5	22.1
